Order_ID,Priority_Level,Assigned_Vehicle,Status,Escalated
njmo150975311,High,van,Delivered,Yes
jvjc772545076,High,van,Delivered,Yes
uaeb808891380,High,van,Delivered,Yes
zkat983341391,High,van,Delivered,Yes
ydhu273019158,High,van,Delivered,Yes
rpuq263118672,High,van,Delivered,Yes
nvck471535045,High,van,Delivered,Yes
rxgx102974679,High,van,Delivered,No
ikas794013321,High,van,Delivered,Yes
dsyl658069912,High,van,Delivered,Yes
luka250567007,High,van,Delivered,Yes
lcwn330553507,High,van,Delivered,Yes
wcjs752046999,High,van,Delivered,Yes
blhl288691670,High,van,Delivered,Yes
zyvo118176215,High,van,Delivered,No
lgee738117860,High,van,Delivered,Yes
cwvq091479872,High,van,Delivered,No
ivtf765857546,High,van,Delivered,Yes
emlt327861941,High,van,Delivered,Yes
rufz727804632,High,van,Delivered,Yes
gkrb550339468,High,van,Delivered,Yes
tsec016509855,High,van,Delivered,Yes
xczs106918282,High,van,Delivered,Yes
qfgc848777135,High,van,Delivered,Yes
vwmc439983136,High,van,Delivered,Yes
ntzy027061451,High,van,Delivered,Yes
pbjm971961647,High,van,Delivered,No
kjic578711491,High,van,Delivered,Yes
rkzt648036688,High,van,Delivered,Yes
segh259958026,High,van,Delivered,Yes
owvs520891091,High,van,Delivered,No
fxuu788413734,High,van,Delivered,Yes
last796029882,High,van,Delivered,Yes
mzyt873581742,High,van,Delivered,Yes
kbhb286226770,High,van,Delivered,Yes
okvp821614347,High,van,Delivered,Yes
oska955853002,High,van,Delivered,Yes
rgwl479077727,High,van,Delivered,Yes
tmzv371880726,High,van,Delivered,Yes
ofxt601212694,High,van,Delivered,Yes
lbui872023073,High,van,Delivered,Yes
ixfk439251990,High,van,Delivered,Yes
njfz936670348,High,van,Delivered,Yes
drir663128253,High,van,Delivered,Yes
drdr957134932,High,van,Delivered,Yes
qrzj427928057,High,van,Delivered,Yes
hkit681446136,High,van,Delivered,Yes
imnm972342448,High,van,Delivered,Yes
wnne890905509,High,van,Delivered,Yes
kbdc711046313,High,van,Delivered,No
alem833315854,High,van,Delivered,Yes
khjm619520065,High,van,Delivered,Yes
oiay843077855,High,van,Delivered,Yes
ohhc448549441,High,van,Delivered,Yes
knul324217390,High,van,Delivered,Yes
buux572471968,High,van,Delivered,Yes
ieue797662723,High,van,Delivered,Yes
eztk468187811,High,van,Delivered,Yes
zzid436960558,High,van,Delivered,Yes
kllk327072475,High,van,Delivered,Yes
uurs547552548,High,van,Delivered,Yes
ubwl989345056,High,van,Delivered,Yes
iimu721647260,High,van,Delivered,Yes
tfxz025621580,High,van,Delivered,Yes
kgjb145446786,High,van,Delivered,Yes
xrxy085440961,High,van,Delivered,Yes
pnzt689957903,High,van,Delivered,Yes
qrng205617369,High,van,Delivered,Yes
gycd207308146,High,van,Delivered,Yes
wqfy256790455,High,van,Delivered,Yes
vgjr167867003,High,van,Delivered,Yes
jqco336937571,High,van,Delivered,Yes
iwkp065421476,High,van,Delivered,Yes
nwvu459529234,High,van,Delivered,Yes
jjcl090851660,High,van,Delivered,Yes
bpbi053158546,High,van,Delivered,Yes
ksec432319879,High,van,Delivered,No
rszv454658332,High,van,Delivered,Yes
cdyc438548517,High,van,Delivered,Yes
xoka811702118,High,van,Delivered,Yes
nyum131271823,High,van,Delivered,Yes
iwoy649851528,High,van,Delivered,Yes
lhus187289759,High,van,Delivered,Yes
szbb646301545,High,van,Delivered,Yes
bwgn919229310,High,van,Delivered,Yes
pdxn136638766,High,van,Delivered,Yes
zzsx562940707,High,van,Delivered,Yes
gyvm380029078,High,van,Delivered,Yes
umwc109456087,High,van,Delivered,Yes
dsbe906886027,High,van,Delivered,Yes
xnzb532907287,High,van,Delivered,Yes
ltrp525870768,High,van,Delivered,Yes
rbzk606295253,High,van,Delivered,Yes
ltoi660207512,High,van,Delivered,Yes
pkhq469939766,High,van,Delivered,Yes
jgbc287273591,High,van,Delivered,Yes
xzzw562394658,High,van,Delivered,Yes
gjwc226881646,High,van,Delivered,Yes
lrbb564302256,High,van,Delivered,No
fkyd365052251,High,van,Delivered,Yes
wciq107093545,High,van,Delivered,Yes
edxx482704762,High,van,Delivered,Yes
jxsj508533395,High,van,Delivered,Yes
xlta607070306,High,van,Delivered,Yes
lubd358643567,High,van,Delivered,Yes
ycwb227184501,High,van,Delivered,Yes
mikp615052003,High,van,Delivered,Yes
djrw974238657,High,van,Delivered,Yes
rxki994339301,High,van,Delivered,Yes
wfjy432968933,High,van,Delivered,Yes
opdl820466364,High,van,Delivered,Yes
wbpn330130607,High,van,Delivered,Yes
jtsd466670552,High,van,Delivered,Yes
enww399699472,High,van,Delivered,Yes
rvns240114667,High,van,Delivered,Yes
fvko144254933,High,van,Delivered,Yes
jocn049365284,High,van,Delivered,Yes
atgc248887447,High,van,Delivered,Yes
jexa898688264,High,van,Delivered,Yes
cmvs014428179,High,van,Delivered,Yes
ntme294239634,High,van,Delivered,Yes
tryr235168039,High,van,Delivered,Yes
cpya420089193,High,van,Delivered,Yes
opvd660426426,High,van,Delivered,Yes
ecar963502319,High,van,Delivered,Yes
pbmy587069805,High,van,Delivered,No
wasv461278289,High,van,Delivered,Yes
byhp076235734,High,van,Delivered,Yes
ohfh963147472,High,van,Delivered,Yes
nkmh560985800,High,van,Delivered,Yes
gvea147758996,High,van,Delivered,Yes
cypx969023715,High,van,Delivered,Yes
oamt174420009,High,van,Delivered,Yes
vmgc964372188,High,van,Delivered,Yes
jnge623681084,High,van,Delivered,Yes
kzvx918950241,High,van,Delivered,Yes
rlgt572766152,High,van,Delivered,Yes
lvnz878892159,High,van,Delivered,Yes
zhyo265634674,High,van,Delivered,No
ezxe128319748,High,van,Delivered,Yes
kifq556800414,High,van,Delivered,Yes
carl757119263,High,van,Delivered,No
ywqd911535741,High,van,Delivered,Yes
ppqt362000534,High,van,Delivered,Yes
czis944259836,High,van,Delivered,Yes
ibwr067523869,High,van,Delivered,Yes
fyao616279169,High,van,Delivered,Yes
bfvj522482572,High,van,Delivered,Yes
zeaw181992534,High,van,Delivered,No
tkua467465647,High,van,Delivered,Yes
ljgp550489562,High,van,Delivered,Yes
hnoc705310037,High,van,Delivered,Yes
lzkv724137602,High,van,Delivered,Yes
qpqb113436782,High,van,Delivered,Yes
teij116088130,High,van,Delivered,Yes
zutg690542042,High,van,Delivered,Yes
qphf884454355,High,van,Delivered,Yes
fcib257172141,High,van,Delivered,Yes
fium151549195,High,van,Delivered,Yes
vvnq162473052,High,van,Delivered,Yes
hhem665543827,High,van,Delivered,Yes
zfgf746938367,High,van,Delivered,No
nfdj333236314,High,van,Delivered,Yes
zfxe533340329,High,van,Delivered,Yes
kwmv603335255,High,van,Delivered,Yes
gopn683041817,High,van,Delivered,Yes
ppri902151840,High,van,Delivered,Yes
